2026-03-29 06:07:12,069 - INFO - 开始训练流程...
2026-03-29 06:07:12,069 - INFO - 日志将保存至: /root/autodl-tmp/Master_Thesis/model_train/classifier/logs/20260329_060712_train.log
2026-03-29 06:07:12,095 - INFO - 训练集大小: 4223, 验证集大小: 600
2026-03-29 06:07:50,157 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4645669291338583, 'hate_f1': 0.1111111111111111, 'combined_f1': 0.2878390201224847, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.041559318927201355, 'lr': 1.0227272727272729e-06}
2026-03-29 06:07:50,812 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.45849802371541504, 'hate_f1': 0.11320754716981132, 'combined_f1': 0.28585278544261317, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.04222531791663531, 'lr': 1.0416666666666667e-06}
2026-03-29 06:07:51,468 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4715447154471545, 'hate_f1': 0.11764705882352941, 'combined_f1': 0.29459588713534196, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.042889114638621155, 'lr': 1.0606060606060608e-06}
2026-03-29 06:07:52,124 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.46473029045643155, 'hate_f1': 0.11538461538461539, 'combined_f1': 0.2900574529205235, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.54, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.04352854389810201, 'lr': 1.0795454545454546e-06}
2026-03-29 06:07:52,777 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.46037735849056605, 'hate_f1': 0.11764705882352941, 'combined_f1': 0.28901220865704774, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.53, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.044057179976141815, 'lr': 1.0984848484848485e-06}
2026-03-29 06:07:53,429 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.46153846153846156, 'hate_f1': 0.11764705882352941, 'combined_f1': 0.2895927601809955, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.53, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.04462058159212271, 'lr': 1.1174242424242425e-06}
2026-03-29 06:07:54,082 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4743083003952569, 'hate_f1': 0.10526315789473684, 'combined_f1': 0.2897857291449969, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.53, 'best_hate_th': 0.56, 'total_loss': 0.0451803563557791, 'lr': 1.1363636363636364e-06}
2026-03-29 06:07:54,738 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.46774193548387094, 'hate_f1': 0.10666666666666667, 'combined_f1': 0.2872043010752688, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.53, 'best_hate_th': 0.56, 'total_loss': 0.04594034470166221, 'lr': 1.1553030303030304e-06}
2026-03-29 06:07:55,391 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.47107438016528924, 'hate_f1': 0.1095890410958904, 'combined_f1': 0.2903317106305898, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.53, 'best_hate_th': 0.56, 'total_loss': 0.046492784594496094, 'lr': 1.1742424242424245e-06}
2026-03-29 06:07:56,045 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4674329501915709, 'hate_f1': 0.1111111111111111, 'combined_f1': 0.289272030651341, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.52, 'best_hate_th': 0.56, 'total_loss': 0.04700858512836875, 'lr': 1.1931818181818183e-06}
2026-03-29 06:07:56,700 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.47808764940239046, 'hate_f1': 0.14545454545454545, 'combined_f1': 0.311771097428468, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.52, 'best_hate_th': 0.5700000000000001, 'total_loss': 0.0476033804430203, 'lr': 1.2121212121212122e-06}
2026-03-29 06:07:57,343 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4777327935222672, 'hate_f1': 0.14545454545454545, 'combined_f1': 0.31159366948840633, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.52, 'best_hate_th': 0.5700000000000001, 'total_loss': 0.04816693383635896, 'lr': 1.2310606060606063e-06}
2026-03-29 06:07:57,988 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4730290456431535, 'hate_f1': 0.16, 'combined_f1': 0.31651452282157677, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.52, 'best_hate_th': 0.5700000000000001, 'total_loss': 0.048823060862945786, 'lr': 1.25e-06}
2026-03-29 06:07:58,635 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4806201550387597, 'hate_f1': 0.12598425196850394, 'combined_f1': 0.3033022035036318, 'hate_recall': 0.34782608695652173, 'best_rel_th': 0.51, 'best_hate_th': 0.52, 'total_loss': 0.049488519515955086, 'lr': 1.268939393939394e-06}
2026-03-29 06:07:59,353 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.48031496062992124, 'hate_f1': 0.16666666666666666, 'combined_f1': 0.32349081364829396, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.51, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.05002295265369343, 'lr': 1.287878787878788e-06}
2026-03-29 06:07:59,998 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.47580645161290325, 'hate_f1': 0.13333333333333333, 'combined_f1': 0.3045698924731183, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.51, 'best_hate_th': 0.56, 'total_loss': 0.050778879868713295, 'lr': 1.3068181818181819e-06}
2026-03-29 06:08:00,640 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4816326530612245, 'hate_f1': 0.13793103448275862, 'combined_f1': 0.3097818437719916, 'hate_recall': 0.17391304347826086, 'best_rel_th': 0.51, 'best_hate_th': 0.56, 'total_loss': 0.05132889550066355, 'lr': 1.3257575757575757e-06}
2026-03-29 06:08:01,294 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.48360655737704916, 'hate_f1': 0.16666666666666666, 'combined_f1': 0.3251366120218579, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.51, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.05211595327339389, 'lr': 1.3446969696969698e-06}
2026-03-29 06:08:01,939 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4896265560165975, 'hate_f1': 0.15384615384615385, 'combined_f1': 0.32173635493137565, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.51, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.052783690731633796, 'lr': 1.3636363636363636e-06}
2026-03-29 06:08:02,585 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.49166666666666664, 'hate_f1': 0.15, 'combined_f1': 0.3208333333333333, 'hate_recall': 0.13043478260869565, 'best_rel_th': 0.51, 'best_hate_th': 0.5800000000000001, 'total_loss': 0.05318651427373742, 'lr': 1.3825757575757577e-06}
2026-03-29 06:08:03,231 - INFO - Epoch 1 优化后结果: {'rel_f1': 0.4957983193277311, 'hate_f1': 0.15789473684210525, 'combined_f1': 0.3268465280849182, 'hate_recall': 0.2608695652173913, 'best_rel_th': 0.51, 'best_hate_th': 0.55, 'total_loss': 0.05396032389817816, 'lr': 1.4015151515151515e-06}
