Source,Target,Weight,Type
pharisee,Do: entrust,1,Target-to-Tactic
pharisee,Do: miss,1,Target-to-Tactic
trump,Act_on: blame,1,Target-to-Tactic
Jesus,Act_on: keep,1,Target-to-Tactic
Jesus,Act_on: bless,1,Target-to-Tactic
Priests/Clergy,Do: let,1,Target-to-Tactic
Priests/Clergy,Do: get,1,Target-to-Tactic
Church (General),Do: create,1,Target-to-Tactic
catholic universities,Act_on: fund,1,Target-to-Tactic
gay people,Act_on: know,1,Target-to-Tactic
bishops,Is: old,1,Target-to-Tactic
catholics,Is: evangelical,1,Target-to-Tactic
bishops,Do: read,1,Target-to-Tactic
Priests/Clergy,Do: suspect,1,Target-to-Tactic
Priests/Clergy,Do: sadden,1,Target-to-Tactic
Priests/Clergy,Do: commit,1,Target-to-Tactic
women,Do: deny,1,Target-to-Tactic
women,Do: show,1,Target-to-Tactic
Church (General),Is: honest,1,Target-to-Tactic
authentic catholics,Do: marry,1,Target-to-Tactic
Church (General),Do: live,1,Target-to-Tactic
Church (General),Do: believe,1,Target-to-Tactic
Church (General),Is: pure,1,Target-to-Tactic
Church (General),Is: what,1,Target-to-Tactic
Church (General),Is: political,1,Target-to-Tactic
Church (General),Do: fit,1,Target-to-Tactic
bishops,Do: change,1,Target-to-Tactic
bishops,Do: move,1,Target-to-Tactic
bishops,Is: surprised,1,Target-to-Tactic
bishops,Do: urge,1,Target-to-Tactic
Jesus,Do: sire,1,Target-to-Tactic
god,Do: ensure,1,Target-to-Tactic
Jesus,Do: marry,1,Target-to-Tactic
Christianity,Do: feel,1,Target-to-Tactic
Church (General),Act_on: shutdown,1,Target-to-Tactic
trump,Is: heartbeat,1,Target-to-Tactic
Jesus,Act_on: set,1,Target-to-Tactic
Church (General),Do: force,1,Target-to-Tactic
gay people,Do: disorder,1,Target-to-Tactic
catholics,Act_on: practice,1,Target-to-Tactic
authentic catholics,Do: sing,1,Target-to-Tactic
catholics,Do: hop,1,Target-to-Tactic
catholics,Is: grateful,1,Target-to-Tactic
Jesus,Is: man,1,Target-to-Tactic
bishops,Do: recognize,1,Target-to-Tactic
bishops,Do: measure,1,Target-to-Tactic
Church (General),Act_on: face,1,Target-to-Tactic
Priests/Clergy,Is: likely,1,Target-to-Tactic
god,Act_on: face,1,Target-to-Tactic
