term_a,term_b,co_doc_count,pmi,tscore,score
地球,基督教,3,1.2941043086520836,1.2572206796372225,0.5707933400976221
基督教,支持,3,1.2941043086520836,1.2572206796372225,0.5707933400976221
基督教,大叔,3,1.2941043086520836,1.2572206796372225,0.5707933400976221
地上,基督教,3,1.2941043086520836,1.2572206796372225,0.5707933400976221
基督教,起码,3,1.2941043086520836,1.2572206796372225,0.5707933400976221
基督教,管理,3,1.2941043086520836,1.2572206796372225,0.5707933400976221
地狱,教义,3,1.2850544731321683,1.252904042110571,0.5699305543355616
爹,耶稣,4,1.2799997024705454,1.4439252336448598,0.5781479096779291
洪秀全,耶稣,4,1.2799997024705454,1.4439252336448598,0.5781479096779291
回复,基督徒,8,1.2749703540655448,2.0380535637189836,0.6044961529536634
基督徒,精神,4,1.2749703540655448,1.4411214953271028,0.5776502200488016
信,邪教,4,1.274134583018149,1.4406542056074767,0.5775674530694869
事,佛教,3,1.2727431816527213,1.2469686655114254,0.5687539939847176
中国,伊斯兰教,3,1.2605816166134494,1.2410332889122797,0.5675884962670622
佛,基督,3,1.2583862260500143,1.239954129530617,0.567377755211739
听,宗教,3,1.2583862260500143,1.239954129530617,0.567377755211739
只能,宗教,5,1.2583862260500143,1.6007738979110642,0.5836049673278256
世界,宗教,5,1.2583862260500143,1.6007738979110642,0.5836049673278256
上帝,不信,6,1.2572903355293776,1.752796865785969,0.5903609529428051
教会,见,3,1.2453141444826654,1.2334791732406396,0.5661207167875933
撒旦,教会,4,1.2453141444826654,1.4242990654205607,0.5747024940008292
基督教,改变,4,1.2453141444826654,1.4242990654205607,0.5747024940008292
中国,道德,4,1.2428820395140534,1.4228971962616823,0.5744597498665868
喜欢,里,3,1.2388416299770497,1.2302416950956512,0.565496891254948
人类,佛教,3,1.2388416299770497,1.2302416950956512,0.565496891254948
佛教,天主教,4,1.2388416299770497,1.4205607476635516,0.5740561441185426
死,没,5,1.2388416299770497,1.588235198971813,0.5815969972709083
天堂,里,3,1.2388416299770497,1.2302416950956512,0.565496891254948
故事,里,3,1.2388416299770497,1.2302416950956512,0.565496891254948
新教,罗马,3,1.233479686835666,1.2275437966414942,0.5649793876075038
罪,说,5,1.231129509490713,1.5832197193961126,0.5808016202855362
信教,说,5,1.231129509490713,1.5832197193961126,0.5808016202855362
不信,说,5,1.231129509490713,1.5832197193961126,0.5808016202855362
国内,基督教,9,1.2295657875145307,2.122741433021807,0.6049500904233566
信仰,宗教,13,1.2206458980671782,2.541771086067569,0.6231361344152244
十字架,耶稣,14,1.2205762819997616,2.637643658500189,0.6274426851718865
说,问,13,1.2172403973300499,2.538142206279179,0.6227213145677926
基督教,指,5,1.2171432675159772,1.5740246735073284,0.5793547074616393
宗教,邪教,5,1.2095960618805965,1.569009193931628,0.578571515314839
信仰,教派,3,1.1946704116639253,1.2075793480807313,0.561214074923307
信仰,道教,3,1.1946704116639253,1.2075793480807313,0.561214074923307
人类,信仰,5,1.1946704116639253,1.5589782347802272,0.5770176000389735
信仰,地狱,4,1.1946704116639253,1.3943925233644858,0.5696156573394144
圣经,讲,5,1.187290304366305,1.5539627552045265,0.5762467540590553
宗教,搞,3,1.1783435183765016,1.1989460730274286,0.5596194862100835
基督,懂,3,1.1783435183765016,1.1989460730274286,0.5596194862100835
讲,里,3,1.1743031088394977,1.1967877542641028,0.5592238915270277
撒旦,里,3,1.1743031088394977,1.1967877542641028,0.5592238915270277
没,钱,3,1.1743031088394977,1.1967877542641028,0.5592238915270277
有人,说,6,1.1722890094677971,1.6909873115288234,0.5813008037832629
方式,说,3,1.1722890094677971,1.19570859488244,0.5590265452866227
上帝,创造,5,1.1702789585397737,1.5422599695278922,0.5744635484835501
上帝,回到,3,1.1702789585397737,1.1946294355007772,0.5588294981680516
上帝,见,6,1.1702789585397737,1.6894611496953136,0.5810836535433049
上帝,意志,3,1.1702789585397737,1.1946294355007772,0.5588294981680516
上帝,道理,3,1.1702789585397737,1.1946294355007772,0.5588294981680516
上帝,名字,4,1.1702789585397737,1.3794392523364487,0.5671409831855949
上帝,魔鬼,3,1.1702789585397737,1.1946294355007772,0.5588294981680516
上帝,佛,6,1.1702789585397737,1.6894611496953136,0.5810836535433049
上帝,儿子,6,1.1702789585397737,1.6894611496953136,0.5810836535433049
上帝,念,5,1.1702789585397737,1.5422599695278922,0.5744635484835501
上帝,禁果,3,1.1702789585397737,1.1946294355007772,0.5588294981680516
信,神,6,1.1687740673603537,1.6883165283201815,0.5809209864398401
佛教,信仰,5,1.1618805888409445,1.536408576689575,0.5735798738619908
天主教,神父,8,1.1612833956311985,1.9428915296153735,0.591816580561387
不信,基督徒,3,1.154342366276966,1.1859961604474745,0.5572637470940813
一位,基督徒,3,1.154342366276966,1.1859961604474745,0.5572637470940813
基督徒,微博,3,1.154342366276966,1.1859961604474745,0.5572637470940813
做,想,3,1.15138232464849,1.18437742137498,0.5569722426947068
神,问,3,1.15138232464849,1.18437742137498,0.5569722426947068
教会,美国,5,1.150003964678369,1.5280494440634076,0.5723264251678666
傻,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
世俗,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
耶稣,背叛,3,1.1464683098460626,1.181679522920823,0.5564878345172602
复活,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
一群,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
创造,圣经,3,1.1464683098460626,1.181679522920823,0.5564878345172602
坏,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
第一,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
儿子,耶稣,6,1.1464683098460626,1.6711472076931966,0.5785007524358713
真实,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
丢,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
强,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
像是,耶稣,3,1.1464683098460626,1.181679522920823,0.5564878345172602
话,说,5,1.1441181325011098,1.523869877750324,0.5717035783318665
中,佛教,3,1.1435314501727538,1.1800607838483286,0.5561980429313762
信,教派,3,1.1406031903936664,1.1784420447758344,0.5559088867541422
信,地狱,4,1.1406031903936664,1.3607476635514018,0.5641077500234803
东西,圣经,5,1.126665682549889,1.5113311788110728,0.5698501878207843
修女,问,4,1.1232114476818027,1.3495327102803738,0.5623183779565625
信徒,神父,5,1.1220626824779298,1.5079875257606057,0.5693597175271551
人类,想,3,1.1174807729728196,1.1654921321958802,0.5536180735083408
基督教,岁,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
国家,基督教,8,1.1117827518581838,1.89795390239978,0.5861382060735632
世上,基督教,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
基督教,想起,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
基督教,派,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
基督教,本来,6,1.1117827518581838,1.6436762946900207,0.5747025336457525
基督教,父母,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
代表,基督教,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
基督教,我来,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
发生,基督教,4,1.1117827518581838,1.3420560747663552,0.5611377134332377
基督教,强,3,1.1117827518581838,1.1622546540508916,0.5530514719121049
宗教,是因为,3,1.1042355462228033,1.15793801652424,0.5522997089140358
宗教,有人,3,1.1042355462228033,1.15793801652424,0.5522997089140358
自由,说,4,1.103296137980868,1.3364485981308412,0.5602584885215768
两个,说,6,1.103296137980868,1.6368085664392265,0.5737666312123121
上帝,写,6,1.090236250866263,1.6261254336046582,0.5723212387050511
信仰,文化,3,1.0893098960061327,1.1493047414709374,0.5508086519356324
基督,道德,4,1.0865359691234084,1.325233644859813,0.5585157806902783
宗教,道德,4,1.0865359691234084,1.325233644859813,0.5585157806902783
基督,异端,4,1.0865359691234084,1.325233644859813,0.5585157806902783
神,里,6,1.0846909501498396,1.621546948104129,0.5717056115883355
国家,基督徒,4,1.0673309892873648,1.3121495327102803,0.5565083744287989
基督徒,讲,4,1.0673309892873648,1.3121495327102803,0.5565083744287989
中国,罗马,3,1.0664256021725527,1.1358152492001516,0.5485111659882629
上帝,证明,4,1.052495922883429,1.3018691588785045,0.5549499350243812
圣经,罪,3,1.0511581300417694,1.1266423944560175,0.5469705866663468
圣经,微博,3,1.0511581300417694,1.1266423944560175,0.5469705866663468
一位,圣经,3,1.0511581300417694,1.1266423944560175,0.5469705866663468
信仰,神,5,1.0405197318367174,1.4461299443269666,0.5605529326986454
说,骂,3,1.0387576168433188,1.1190882787843774,0.5457146342696435
主,说,3,1.0387576168433188,1.1190882787843774,0.5457146342696435
手上,说,3,1.0387576168433188,1.1190882787843774,0.5457146342696435
讲,说,6,1.0387576168433188,1.5826298213496297,0.5665615711478167
