lang,topic,n_docs,bias_harm,z_harm,bias_fairness,z_fairness,bias_loyalty,z_loyalty,bias_authority,z_authority,bias_sanctity,z_sanctity,bias_realistic_threat,z_realistic_threat,bias_symbolic_threat,z_symbolic_threat,topic_label,topic_short,row_label,dominant_negative_axis,dominant_negative_z,dominant_negative_axis_label,dominant_negative_raw_bias,pc1,pc2
jp,0,493,0.07207052941176471,0.12163545294542132,0.08469641379310346,-0.004070563927523138,0.030517012170385393,0.28106290124284605,0.040648434077079104,0.2762610531056841,0.07766515821501013,0.02739580938933282,-0.02515292494929006,-0.2974735245694562,-0.03790569574036511,0.29426792886079783,Separation of Church & State / Japan,Separation of Church & State…,JP · T0 · Separation of Church & State…,realistic_threat,-0.2974735245694562,Realistic Threat,-0.02515292494929006,0.3798257371667527,-0.1440446674986793
jp,7,36,0.07619255555555556,0.287335436531059,0.08733155555555555,0.11286766351530574,0.019744305555555557,-0.16374521616243368,0.03262952777777778,-0.0491434410822155,0.09039877777777777,0.5544516229883594,0.003116777777777778,0.9550971867865048,-0.05277283333333333,-0.28891220674627277,Religion and Natural Disasters,Religion and Natural Disaste…,JP · T7 · Religion and Natural Disaste…,symbolic_threat,-0.28891220674627277,Symbolic Threat,-0.05277283333333333,0.3540295500782023,0.3041803204892064
jp,10,29,0.06933131034482759,0.011522479714367442,0.08311593103448277,-0.07420677251050052,0.017911827586206897,-0.2394087522519201,0.027018413793103446,-0.27684054089402965,0.08455655172413792,0.31263670219915035,0.000337965517241379,0.8319738952715904,-0.05043465517241379,-0.19719454768569566,Conflicts and Reflections on the Bible,Conflicts and Reflections on…,JP · T10 · Conflicts and Reflections on…,authority,-0.27684054089402965,Authority,0.027018413793103446,-0.05649238188232452,0.4336713617858325
jp,14,29,0.0807486551724138,0.47048459798534525,0.09787586206896552,0.580786517393075,0.030239931034482758,0.2696221424033076,0.03509824137931034,0.051036118425978924,0.09318206896551724,0.6696545151594354,-0.015478137931034482,0.13119581711663988,-0.05232293103448276,-0.2712642848101963,Public Prayer and Religious Freedom,Public Prayer and Religious …,JP · T14 · Public Prayer and Religious …,symbolic_threat,-0.2712642848101963,Symbolic Threat,-0.05232293103448276,0.8094080561530984,-0.38363641893068623
jp,3,44,0.07025897727272727,0.048813459772187345,0.08694156818181818,0.09556140968875795,0.024453454545454546,0.03069688382889061,0.027533681818181818,-0.25593113943532525,0.07391820454545454,-0.12769392806441052,-0.003955227272727273,0.6417516068083159,-0.04070588636363636,0.1844273131273865,LGBTQ Issues and Youth Alienation,LGBTQ Issues and Youth Alien…,JP · T3 · LGBTQ Issues and Youth Alien…,authority,-0.25593113943532525,Authority,0.027533681818181818,0.07674529159994664,0.5516880696274187
jp,29,7,0.06313485714285715,-0.23756672012059882,0.08352057142857142,-0.05625026971026202,0.032912142857142855,0.3799585279231081,0.042223000000000004,0.34015640349258397,0.08702128571428572,0.4146542292721963,-0.012246428571428573,0.27438602079647706,-0.025406857142857144,0.7845488819121191,Christian Principles and Criticisms,Christian Principles and Cri…,JP · T29 · Christian Principles and Cri…,harm,-0.23756672012059882,Harm,0.06313485714285715,0.6385426863006374,0.6253811336175525
jp,24,12,0.07088658333333332,0.07404239096111753,0.08934116666666665,0.20204706347444468,0.021378166666666667,-0.09628262659050825,0.029818,-0.16323428343346222,0.08385225,0.2834850288351917,-0.023740916666666667,-0.23491042526552727,-0.03849808333333333,0.27103086156126927,Reforms and Divisions in Catholicism,Reforms and Divisions in Cat…,JP · T24 · Reforms and Divisions in Cat…,realistic_threat,-0.23491042526552727,Realistic Threat,-0.023740916666666667,0.19296842377497228,-0.10249693783313958
jp,19,9,0.07583377777777778,0.2729130457419514,0.09827577777777778,0.5985333554499132,0.030638111111111112,0.2860631109180847,0.028448888888888888,-0.21879234733513933,0.09357866666666666,0.6860700459533664,0.005847222222222222,1.0760774027129014,-0.04532077777777778,0.0034030249023405184,Doctrines of Religion and Salvation,Doctrines of Religion and Sa…,JP · T19 · Doctrines of Religion and Sa…,authority,-0.21879234733513933,Authority,0.028448888888888888,0.8294330725260952,0.5483299289267749
jp,36,8,0.082533125,0.542217918159819,0.0964585,0.5178890253677138,0.03431375,0.43783128514624037,0.033439250000000004,-0.016285188308033383,0.088434875,0.47316394423615393,-0.0224855,-0.17928556912902643,-0.0412045,0.1648686343802676,Internal Divisions in Catholicism,Internal Divisions in Cathol…,JP · T36 · Internal Divisions in Cathol…,realistic_threat,-0.17928556912902643,Realistic Threat,-0.0224855,0.8812914524304738,-0.32366005576321105
jp,21,8,0.086032375,0.6828831268061671,0.09493575,0.4503147914589967,0.03587975,0.5024918701563029,0.039791625,0.2414920317533807,0.096698,0.8151820207365387,-0.0159275,0.11128553465577781,-0.046996375,-0.06232415419772813,Adventist Church,Adventist Church,JP · T21 · Adventist Church,symbolic_threat,-0.06232415419772813,Symbolic Threat,-0.046996375,1.1547755095896692,-0.36000370901059553
